StateAbbr,StateDesc,CountyName,CountyFIPS,Geolocation,TotalPopulation,TotalPop18plus,SLEEP_CrudePrev,SLEEP_Crude95CI,SLEEP_AdjPrev,SLEEP_Adj95CI
SD,South Dakota,Yankton,46135,POINT (-97.3949292202413 43.0089434401039),23373,18393,28.7,"(22.8, 35.3)",30.1,"(24.0, 36.9)"
OK,Oklahoma,Haskell,40061,POINT (-95.116494065308 35.224815744206),11641,8933,40.7,"(33.6, 48.1)",42.2,"(35.0, 49.8)"
IL,Illinois,Lake,17097,POINT (-88.003802278105 42.3231861408737),709150,546991,33.1,"(28.2, 38.3)",33.8,"(28.8, 39.0)"
KS,Kansas,Atchison,20005,POINT (-95.3139519927859 39.5314729069169),16108,12602,34.4,"(28.3, 40.8)",36.3,"(30.1, 42.9)"
AK,Alaska,Anchorage,2020,POINT (-149.112545841578 61.150482370682),287145,219637,34.6,"(31.1, 38.0)",34.7,"(31.2, 38.1)"
OK,Oklahoma,Seminole,40133,POINT (-96.6156537381723 35.1680593598838),23351,17739,39.6,"(32.7, 46.6)",41.1,"(34.1, 48.3)"
WV,West Virginia,Mercer,54055,POINT (-81.1115003008816 37.4056309003899),58700,46324,42.1,"(35.9, 48.0)",43.9,"(37.7, 49.9)"
MN,Minnesota,Blue Earth,27013,POINT (-94.0669295707349 44.0345454957417),69631,56029,30.1,"(25.3, 35.4)",31.5,"(26.5, 36.9)"
NE,Nebraska,Buffalo,31019,POINT (-99.0753138152132 40.8549140546781),50586,39327,32.6,"(27.7, 38.0)",33.8,"(28.8, 39.3)"
KY,Kentucky,Graves,21083,POINT (-88.6511228405933 36.7230236653849),36412,27683,38.1,"(31.5, 44.9)",39.2,"(32.5, 46.2)"
VA,Virginia,Accomack,51001,POINT (-75.6362087071782 37.7665461006998),33191,26541,35.6,"(29.6, 41.9)",38.1,"(31.9, 44.6)"
TX,Texas,Hemphill,48211,POINT (-100.270357671339 35.8376485835775),3217,2330,36.4,"(29.3, 43.8)",37.7,"(30.5, 45.2)"
MO,Missouri,Shelby,29205,POINT (-92.0765035724993 39.7978199013128),5982,4515,37.3,"(30.6, 44.3)",38.8,"(31.9, 45.8)"
MO,Missouri,Carroll,29033,POINT (-93.5052433823843 39.4269766767271),8423,6583,37.2,"(30.8, 44.1)",39.0,"(32.4, 46.0)"
TN,Tennessee,Dyer,47045,POINT (-89.413255123987 36.0594847370705),36410,27775,42.2,"(35.4, 49.1)",43.3,"(36.4, 50.3)"
